rank,iso3,country_name,income_group,peer_group,ppp_data_available,gdp_usd,gdp_ppp,actual_contribution_usd,adjusted_target_usd,gap_usd_signed,gap_pct_ppp_gdp,gap_usd_lower,gap_usd_upper,giving_rate_raw,giving_rate,p_donate,pred_donation_usd,expected_contribution,donor_segment,imr
50,PAK,Pakistan,LMC,Lower-Middle Income,True,371570000121.266,1382061800204.16,0.0,910701.0200818965,910701.0200818965,6.589437751245035e-05,-449136581803.4709,449138403205.51105,0.0,0.0,0.02768140096070618,45605204.76735183,910701.0200818965,Low Probability,2.2990442091826564
51,PAN,Panama,HIC,High Income,True,86523959131.7472,164344052511.367,0.0,909287.9424487371,909287.9424487371,0.0005532831450568284,-104585451379.79504,104587269955.67993,0.0,0.0,0.11869103974315709,16420294.390273785,909287.9424487371,Low Probability,1.6723939700691925
52,DOM,Dominican Republic,UMC,Upper-Middle Income,True,124282245638.568,276888443219.725,0.0,908377.704966487,908377.704966487,0.00032806631233996407,-150226010239.82666,150227826995.23657,0.0,0.0,0.08254870417273197,26371779.465285957,908377.704966487,Low Probability,1.8440709047829142
53,MCO,Monaco,HIC,High Income,False,11125783372.4794,,0.0,880086.6586750885,880086.6586750885,,-13447478081.203985,13449238254.521334,0.0,0.0,0.3146780654455836,6667600.705919503,880086.6586750885,Emerging Prospect,1.128398299548341
54,HUN,Hungary,HIC,High Income,True,222722738925.641,389051087730.184,23240000.0,24117029.7796456,877029.7796455994,0.00022542792124355656,-269216585230.7577,269218339290.31696,0.9636344198411282,0.9636344198411282,0.9620146325255045,443061295.87018085,24117029.7796456,High-Potential Prospect,0.08588529030716467
55,ECU,Ecuador,UMC,Upper-Middle Income,True,124676074700.0,252727662993.613,0.0,853292.8050388655,853292.8050388655,0.00033763332234051094,-150702108592.66864,150703815178.27875,0.0,0.0,0.07729792731715264,27523711.265003767,853292.8050388655,Low Probability,1.8738517020701975
56,URY,Uruguay,HIC,High Income,True,80961511073.5797,108502123258.158,0.0,776079.9453334943,776079.9453334943,0.0007152670584030647,-97861941741.98524,97863493901.8759,0.0,0.0,0.10826317050559625,15076731.849895053,776079.9453334943,Low Probability,1.7170866520157222
57,MAC,"Macao SAR, China",HIC,High Income,True,49467258923.3244,76733436445.1954,0.0,739090.6285197898,739090.6285197898,0.0009631924005484409,-59793110323.05226,59794588504.309296,0.0,0.0,0.16874570791601567,26927548.051622555,739090.6285197898,Low Probability,1.4925038755173066
58,EGY,"Egypt, Arab Rep.",LMC,Lower-Middle Income,True,389059911003.566,1957627322504.22,0.0,717539.4982700248,717539.4982700248,3.665352899509697e-05,-470277810880.80804,470279245959.8046,0.0,0.0,0.020829661632824997,43473336.0838377,717539.4982700248,Low Probability,2.405945278879592
59,MNE,Montenegro,UMC,Upper-Middle Income,True,8270016670.86774,17524612407.7645,0.0,619934.4998808174,619934.4998808174,0.0035375076233135267,-9995812902.681934,9997052771.681698,0.0,0.0,0.29820234516032174,5094921.681858982,619934.4998808174,Emerging Prospect,1.1627851938021418
60,MAR,Morocco,LMC,Lower-Middle Income,True,160610994054.734,354338830185.762,0.0,609348.2954640697,609348.2954640697,0.00017196768842540317,-194138904376.85568,194140123073.44662,0.0,0.0,0.04284924915400479,26107962.45768104,609348.2954640697,Low Probability,2.1264244374388968
61,PRY,Paraguay,UMC,Upper-Middle Income,True,44458118397.4445,112919442526.934,0.0,545295.0954607137,545295.0954607137,0.0004829062943085711,-53738475110.156006,53739565700.346924,0.0,0.0,0.13852667146749037,14256634.72713297,545295.0954607137,Low Probability,1.5952174009719495
62,IRN,"Iran, Islamic Rep.",UMC,Upper-Middle Income,True,475252089215.416,1600982419419.64,0.0,499810.46041009057,499810.46041009057,3.121898493996412e-05,-574463347077.2583,574464346698.1792,0.0,0.0,0.01187775032651907,43603665.02565707,499810.46041009057,Low Probability,2.6063535794423385
63,DZA,Algeria,UMC,Upper-Middle Income,True,269322281664.773,725711643445.634,0.0,481055.051208498,481055.051208498,6.628735470254802e-05,-325544461278.9016,325545423389.004,0.0,0.0,0.0201732271988985,31918530.865837608,481055.051208498,Low Probability,2.417738691304171
