iso3,gdp_usd,gdp_per_capita_usd,govt_revenue_pct_gdp,govt_expenditure_pct_gdp,trade_openness,gov_effectiveness
SOM,11967000000.0,629.538899449007,3.08643595525991,6.3426529909655,130.325060583271,-1.95005229999999
SSD,,,,,,-2.1728459
SYR,23622827079.5047,1051.67149587463,,,35.6094680799956,-1.6726478
TCD,19518819751.283,961.55975562506,,,47.8679892951699,-1.1005006
TGO,10651180146.531,1119.38160509429,15.5105986034597,15.8768600552922,61.575092396894,-0.8014589
UGA,53911907086.1525,1077.91278452817,14.0445688090372,16.5833400364579,42.6527889088562,-0.3501362
YEM,21606160663.0318,633.887202451545,,,56.0778227215077,-1.87279819999999
AGO,100998916781.079,2665.87444776753,18.6107758061654,14.6521024656345,50.8422305562091,-0.785190899999999
BEN,21482643706.4249,1485.38018885134,,,40.6398022401523,-0.1854211
BGD,450119432068.852,2593.41611680774,9.53881335234034,8.3242513417429,26.7780758040478,-0.618974599999999
BOL,54881327452.9667,4421.16609889999,,,46.9778716148403,-0.6104172
BTN,3012896789.24928,3831.32535494609,20.0284807729715,24.0761573964997,81.7366278688545,0.5808357
CIV,87113179149.284,2727.8935220697,13.3681230477413,17.8812303499603,51.2640379409119,-0.3157177
CMR,53296694320.2057,1830.00833684727,13.7428346466617,12.4228090170574,34.4031785915423,-0.800788699999999
COG,15719986076.6464,2482.2489948456,20.0514136790167,16.132138958121,93.1881220839752,-1.110638
COM,1440991455.45188,1662.75663312504,,,44.3731767499027,-1.2085975
DJI,4152145939.98458,3552.72335079222,,,241.237463098287,-0.4930443
EGY,389059911003.566,3338.47371395895,,,39.6007520873733,-0.0970579
FSM,471425099.488675,4166.00476748564,29.7040142106775,23.4257647968716,98.4249672966653,-0.1847801
GHA,82308110386.4641,2390.77237652715,15.0222642370769,22.6789929507667,69.7884227390592,0.0595796
GIN,25008678293.4084,1694.95375862193,,,97.7778177312748,-0.8881627
HND,37093565854.0437,3426.43483328923,22.2099126100845,24.3924492884403,91.1101585856976,-0.6196728
HTI,25224154990.7946,2142.62330526788,,,22.2478853726107,-2.0156868
IND,3909891533858.08,2694.73780859961,9.11011784382656,13.3335178491336,44.6492935069676,0.4046051
