iso3,country_name,income_group,peer_group,ppp_data_available,gdp_usd,gdp_ppp,actual_contribution_usd,adjusted_target_usd,gap_usd_signed,gap_pct_ppp_gdp,gap_usd_lower,gap_usd_upper,giving_rate_raw,giving_rate,p_donate,pred_donation_usd,expected_contribution,donor_segment,imr
CIV,Cote d'Ivoire,LMC,Lower-Middle Income,True,87113179149.284,215461462281.624,0.0,442134.88700081664,442134.88700081664,0.00020520369736603468,-95221426822.75494,95222311092.52893,0.0,0.0,0.057322326286117095,68477675.70150022,442134.88700081664,Low Probability,2.0049663610861677
LIE,Liechtenstein,HIC,High Income,False,8239379403.22096,,0.0,436017.3876970871,436017.3876970871,,-9005883273.075815,9006755307.85121,0.0,0.0,0.21051397934162985,25616568.4596546,436017.3876970871,Emerging Prospect,1.3710030502313335
OMN,Oman,HIC,High Income,True,107137198769.386,193943781868.603,0.0,410839.7229226183,410839.7229226183,0.0002118344393227118,-117109358328.78253,117110180008.22836,0.0,0.0,0.04330968512128347,86448307.98859659,410839.7229226183,Low Probability,2.122061313585568
KEN,Kenya,LMC,Lower-Middle Income,True,120339557905.932,329861910700.434,0.0,382402.4251660766,382402.4251660766,0.00011592803314395323,-131540651058.22089,131541415863.07123,0.0,0.0,0.03588931025285261,57598708.87068262,382402.4251660766,Low Probability,2.197766720596509
MMR,Myanmar,LMC,Lower-Middle Income,True,74068349523.8095,287558521666.165,0.0,374686.3233751311,374686.3233751311,0.00013029915483086095,-80962422689.93306,80963172062.57982,0.0,0.0,0.057133135531379706,76148963.475556,374686.3233751311,Low Probability,2.0063786292913206
NGA,Nigeria,LMC,Lower-Middle Income,True,252261880141.151,1860089921812.28,0.0,353940.6729079801,353940.6729079801,1.9028148518924116e-05,-275742626953.69946,275743334835.0453,0.0,0.0,0.01584644069351139,112026319.27225721,353940.6729079801,Low Probability,2.505166562816272
ARM,Armenia,UMC,Upper-Middle Income,True,25955275380.0321,60908993989.5524,0.0,310080.09973546164,310080.09973546164,0.0005090875409773622,-28370940460.091812,28371560620.291283,0.0,0.0,0.13492770693076028,57724132.69257597,310080.09973546164,Low Probability,1.60855572041276
AZE,Azerbaijan,UMC,Upper-Middle Income,True,74315882352.9412,225198385162.317,0.0,303645.12059874466,303645.12059874466,0.0001348345017571442,-81233067470.36192,81233674760.60313,0.0,0.0,0.04614637104480213,146058675.79901046,303645.12059874466,Low Probability,2.0960144145883985
ETH,Ethiopia,LIC,Low Income,True,149740297952.986,381946190066.437,0.0,273592.2745370657,273592.2745370657,7.163110449916417e-05,-163678186643.03516,163678733827.58423,0.0,0.0,0.02063564379663651,75541345.45179199,273592.2745370657,Low Probability,2.4093967522738167
GHA,Ghana,LMC,Lower-Middle Income,True,82308110386.4641,242906921529.863,0.0,273033.1299237456,273033.1299237456,0.00011240236721298157,-89969260600.12204,89969806666.3819,0.0,0.0,0.03746498835445881,46558973.25004331,273033.1299237456,Low Probability,2.180644416524941
